Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
2019,ATL,25,2018-12-05,1,WAS,L,117,131,41,92,.446,12,38,.316,23,31,.742,8,43,28,13,4,17,27,46,95,.484,12,38,.316,27,32,.844,12,49,35,9,4,16,24
2019,ATL,26,2018-12-08,1,DEN,W,106,98,40,93,.430,15,42,.357,11,16,.688,9,51,33,9,11,18,23,36,97,.371,9,36,.250,17,21,.810,11,48,28,11,4,15,16
2019,ATL,27,2018-12-12,0,DAL,L,107,114,43,93,.462,11,33,.333,10,14,.714,16,44,21,7,2,21,30,35,75,.467,12,34,.353,32,43,.744,4,36,22,13,5,14,16
2019,ATL,28,2018-12-14,0,BOS,L,108,129,36,86,.419,16,38,.421,20,32,.625,16,44,27,10,5,24,19,46,95,.484,19,39,.487,18,20,.900,13,47,28,15,9,22,21
2019,ATL,29,2018-12-16,0,BRK,L,127,144,47,85,.553,14,29,.483,19,25,.760,8,33,38,9,5,14,22,49,88,.557,16,40,.400,30,33,.909,10,39,34,12,3,13,21
2019,ATL,30,2018-12-18,1,WAS,W,118,110,37,79,.468,12,32,.375,32,39,.821,13,49,23,4,5,24,29,36,83,.434,13,40,.325,25,36,.694,9,37,26,14,1,15,32
2019,ATL,31,2018-12-21,0,NYK,W,114,107,43,91,.473,10,29,.345,18,24,.750,15,54,29,4,1,16,18,41,84,.488,8,27,.296,17,24,.708,4,35,20,8,3,13,22
2019,ATL,32,2018-12-23,0,DET,W,98,95,36,91,.396,6,23,.261,20,25,.800,15,54,24,9,9,16,25,34,83,.410,10,29,.345,17,27,.630,5,41,21,6,9,16,25
2019,ATL,33,2018-12-26,1,IND,L,121,129,45,89,.506,17,36,.472,14,18,.778,11,41,33,8,6,20,24,46,83,.554,13,27,.481,24,33,.727,10,39,35,13,3,17,17
2019,ATL,34,2018-12-28,0,MIN,W,123,120,47,100,.470,16,35,.457,13,20,.650,17,58,32,10,6,24,33,44,98,.449,11,32,.344,21,38,.553,16,47,28,14,9,14,26
