Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
2025,WAS,7,2024-11-08,0,MEM,L,104,128,38,93,.409,9,35,.257,19,23,.826,11,41,27,14,8,18,27,46,97,.474,14,43,.326,22,25,.880,13,50,30,10,10,19,19
2025,WAS,8,2024-11-10,0,ORL,L,94,121,33,72,.458,10,33,.303,18,25,.720,7,37,20,4,7,17,25,41,91,.451,17,48,.354,22,25,.880,15,44,25,6,5,12,21
2025,WAS,9,2024-11-11,0,HOU,L,92,107,36,88,.409,11,31,.355,9,13,.692,8,34,21,14,5,19,17,40,87,.460,5,23,.217,22,25,.880,17,58,13,12,10,21,17
2025,WAS,10,2024-11-13,0,SAS,L,130,139,49,95,.516,18,44,.409,14,16,.875,11,41,27,5,5,18,23,48,92,.522,18,44,.409,25,32,.781,8,39,38,7,7,9,15
2025,WAS,11,2024-11-15,0,ATL,L,117,129,43,106,.406,15,43,.349,16,21,.762,13,52,28,11,5,16,23,46,98,.469,12,37,.324,25,30,.833,15,55,28,10,10,16,17
2025,WAS,12,2024-11-17,1,DET,L,104,124,39,83,.470,12,27,.444,14,20,.700,5,39,21,6,3,17,16,46,97,.474,17,38,.447,15,19,.789,13,51,27,11,4,9,19
2025,WAS,13,2024-11-18,0,NYK,L,106,134,43,91,.473,11,33,.333,9,16,.563,12,41,23,5,3,10,19,51,91,.560,20,40,.500,12,13,.923,7,41,37,4,1,8,12
2025,WAS,14,2024-11-22,1,BOS,L,96,108,39,90,.433,7,28,.250,11,16,.688,10,48,19,6,4,20,29,36,85,.424,11,46,.239,25,32,.781,10,43,22,11,7,12,19
2025,WAS,15,2024-11-24,0,IND,L,103,115,36,79,.456,11,35,.314,20,25,.800,8,41,24,8,5,17,19,41,86,.477,12,27,.444,21,27,.778,12,45,31,8,3,12,18
2025,WAS,16,2024-11-26,1,CHI,L,108,127,39,91,.429,10,37,.270,20,31,.645,5,43,27,7,3,14,18,47,94,.500,14,40,.350,19,22,.864,8,50,29,6,4,11,22
